keyword,matched_text,title,sentence
refugee,refugee,LEAP High School,"However, with the influx of new immigrants from the Wat Tham Krabok refugee camp in Thailand, the name was changed to reflect a more clear image and mission of the school."
bilingual,bilingual,LEAP High School,Its present principal is bilingual educator Be Vang.
immigrant,immigrant,La Salle Military Academy,"A group of alumni and members of the religious order that had operated La Salle Center had later established De La Salle School, a Catholic middle school for boys that catered to students from low income and immigrant families, in Freeport, New York."
ESL,ESL,Foreman College and Career Academy,"Foreman High School provides several programs for students with limited English proficiency, including: Bilingual programs—Spanish and Polish Variety of English as a Second Language (ESL)/Bilingual courses Foreman offers honors, honors telescope and Advanced Placement (college level courses)."
bilingual,Bilingual,Foreman College and Career Academy,"Foreman High School provides several programs for students with limited English proficiency, including: Bilingual programs—Spanish and Polish Variety of English as a Second Language (ESL)/Bilingual courses Foreman offers honors, honors telescope and Advanced Placement (college level courses)."
bilingual,Bilingual,Foreman College and Career Academy,"Foreman High School provides several programs for students with limited English proficiency, including: Bilingual programs—Spanish and Polish Variety of English as a Second Language (ESL)/Bilingual courses Foreman offers honors, honors telescope and Advanced Placement (college level courses)."
bilingual,Bilingual,Foreman College and Career Academy,"Foreman provides Free Appropriate Public Education programs, including: Cooperative Team Teaching Program; Special Education Instructional Program; Support for Bilingual Special Education Students Foreman's varsity athletic teams are named the Hornets and competes in the Chicago Public League (CPL) and is a member of the Illinois High School Association (IHSA)."
bilingual,bilingual,Jimmy Carter Early College High School,"Of these students, 77.9% were identified as at risk, and 40.5% were part of bilingual or English language learning programs."
asylum,Asylum,McKinley Vocational High School,"It moved into its current address on Elmwood in 1923, which formerly had housed the Buffalo Orphan's Asylum."
ESL,ESL,Mather High School,Mather's Bilingual/English as a Second Language (ESL) program is central to the school's curriculum.
bilingual,Bilingual,Mather High School,Mather's Bilingual/English as a Second Language (ESL) program is central to the school's curriculum.
immigrant,immigrant,Westport High School (Missouri),Primitivo Garcia was a 23 year old Mexican immigrant attended night classes at Westport High to learn English and become an American citizen.
immigrants,immigrants,Bishop Rosecrans High School,Nicholas Parish was established by German immigrants and a parish school was also opened.
immigrant,immigrant,Buhach Colony High School,"The name refers to the unincorporated community of Buhach, where in the 1890's Portuguese immigrant farmers who owned their land were known as the Buhach Colony."
citizenship,citizenship,Tyngsborough High School,"Humanities electives include American conflict, international relations, American culture in the 1960s, psychology, street law, contemporary issues, world cultures and faiths, and citizenship."
bilingual,bilingual,Lycée Français de Los Angeles,"Le Lycée français de Los Angeles (French School of Los Angeles) is a private bilingual education school located in the Westside Village neighborhood of Los Angeles, California."
immigrants,immigrants,De La Salle Institute,"The area which the school catered to was a poor area of the city, and many of the students were children of recent immigrants."
ESL,ESL,W. H. Adamson High School,"That year the head ESL teacher, Marcia Niemann, stated that some students in the ESL program take jobs outside of school to finance family members in Mexico and the U.S., and that most parents of ESL students had educations below the equivalent of the 9th grade."
ESL,ESL,W. H. Adamson High School,"That year the head ESL teacher, Marcia Niemann, stated that some students in the ESL program take jobs outside of school to finance family members in Mexico and the U.S., and that most parents of ESL students had educations below the equivalent of the 9th grade."
ESL,ESL,W. H. Adamson High School,"That year the head ESL teacher, Marcia Niemann, stated that some students in the ESL program take jobs outside of school to finance family members in Mexico and the U.S., and that most parents of ESL students had educations below the equivalent of the 9th grade."
ESL,ESL,W. H. Adamson High School,"That year the school had four full-time ESL teachers, four bilingual ESL teaching assistants, and two non-bilingual ESL teaching assistants."
ESL,ESL,W. H. Adamson High School,"That year the school had four full-time ESL teachers, four bilingual ESL teaching assistants, and two non-bilingual ESL teaching assistants."
ESL,ESL,W. H. Adamson High School,"That year the school had four full-time ESL teachers, four bilingual ESL teaching assistants, and two non-bilingual ESL teaching assistants."
bilingual,bilingual,W. H. Adamson High School,"As of 2008 the school had 85 teachers, including 16 who were bilingual."
bilingual,bilingual,W. H. Adamson High School,"That year the school had four full-time ESL teachers, four bilingual ESL teaching assistants, and two non-bilingual ESL teaching assistants."
bilingual,bilingual,W. H. Adamson High School,"That year the school had four full-time ESL teachers, four bilingual ESL teaching assistants, and two non-bilingual ESL teaching assistants."
bilingual,bilingual,Edward R. Murrow High School,The school has Spanish and Chinese transitional bilingual program open to English language learners.
immigrant,immigrant,Theodore Roosevelt High School (New York City),"In the early 20th century, American educators sought to both expand and tailor schooling and to extend school enrollment into adolescence, newly seen as a prime opportunity to properly socialize youth, especially to assimilate the rapidly growing immigrant populations of cities."
immigrant,immigrant,Theodore Roosevelt High School (New York City),"Focused on adolescence as a period to integrate youth, especially from immigrant populations, into society via high school, American educators emphasized voluntary participation in extracurricular activities."
immigrants,immigrants,Theodore Roosevelt High School (New York City),"Having fled famine in the 19th century and commonly worked in America laying railroads, the Irish, the earliest immigrants, dominating the area, frequently harassed Jews, whose families, however, were usually fervent about education."
immigration,immigration,Theodore Roosevelt High School (New York City),"Many parents, especially of recent immigration, wanted their daughters away from male peers altogether, a factor commonly important to Italians, comprising nearly 33% of Bay Ridge High School's students, many of whom commuted from a wide area since parents viewed this girls' high school as 'safe', like a parochial school."
immigrant,immigrant,Santa Fe High School shooting,"While speaking to reporters, Pagourtzis's father, an immigrant from Greece, claimed that his son's history of being bullied was the reason for the shooting."
migrant,Migrant,Washington Union High School,"The school boasts a variety of programs such as: Agriculture, Academic Decathlon, Health-Institute, Music, Construction, Architecture, Robotics , After School Program, Gifted and Talented Education (GATE), Link Crew, Migrant, Safe School Ambassadors and a newly created Criminal Justice Academy."
foreign-born,foreign-born,Hialeah Senior High School,"The school has a high proportion of foreign-born students, with 59.8% students born outside of the United States (54.1% Cuba, 4.0% Nicaragua, 2.0% Honduras)."
migrant,Migrant,Skyview High School (Idaho),Asian: 0.7% Black/African American: 1.1% Hispanic or Latino: 34.1% Native American or Alaskan Native: 0.5% Native Hawaiian or Pacific Islander: 0.1% Multiracial: 4.5% White: 59.0% Students from Low Income Families: 38.0% Students Learning English: 10.0% Students with Disabilities: 11.0% Students in Foster Care: <1.0% Students who are Homeless: 3.0% Students from Migrant Families: 5.0% Students from Military Families: 4.0%
sanctuary,sanctuary,Leader's Academy High School for Business and Academic Success,The school was last located in the former sanctuary of the Windsor Village United Methodist Church.
immigrants,immigrants,Notre Dame Academy and Convent,"Once in the United States the immigrants tended to establish Czech-only neighborhoods and towns that were almost self-sufficient, with Czech-language shops, banks, churches and schools."
immigrants,immigrants,Notre Dame Academy and Convent,The Czechoslovak School Sisters of Notre Dame came to the United States to sustain Czech immigrants by teaching the Czech language and culture.
ESL,ESL,"Harry S Truman High School (Levittown, Pennsylvania)",It also has an English as a Second Language (ESL) program and often hosts international students who are studying abroad in the United States.
ICE,ICE,Woodbridge High School (Virginia),"In 2026, Woodbridge's administration suspended 323 students for leaving school property during an anti-ICE protest."
DACA,DACA,"High School for Math, Science and Engineering at City College","In 2018, Jin Kyu Park was awarded a Rhodes Scholarship, becoming the first DACA recipient to win a Rhodes Scholarship."
immigrant,immigrant,Union City High School (New Jersey),"Kirp, in his 2011 book, Kids First, and his 2013 book, Improbable Scholars, praised Union City's education system for bringing poor, mostly immigrant children (three quarters of whom live in homes where only Spanish is spoken and a quarter of whom are thought to be undocumented and fearful of deportation) into the educational mainstream."
undocumented,undocumented,Union City High School (New Jersey),"Kirp, in his 2011 book, Kids First, and his 2013 book, Improbable Scholars, praised Union City's education system for bringing poor, mostly immigrant children (three quarters of whom live in homes where only Spanish is spoken and a quarter of whom are thought to be undocumented and fearful of deportation) into the educational mainstream."
deportation,deportation,Union City High School (New Jersey),"Kirp, in his 2011 book, Kids First, and his 2013 book, Improbable Scholars, praised Union City's education system for bringing poor, mostly immigrant children (three quarters of whom live in homes where only Spanish is spoken and a quarter of whom are thought to be undocumented and fearful of deportation) into the educational mainstream."
ESL,ESL,Union City High School (New Jersey),"In July 2012, ESL teacher Kristine Nazzal was named Hudson County's 2012-13 Teacher of the Year by the New Jersey Department of Education."
sanctuary,Sanctuary,Union City High School (New Jersey),"On October 28, 2011, the city broke ground on the school's $930,000, state-funded Student Sanctuary, a 16,900-square-foot (1,570 m2), triangular landscaped pedestrian plaza in front of the school at the corner of Kennedy Boulevard at 24th Street."
sanctuary,Sanctuary,Union City High School (New Jersey),"On December 18, 2012, the school's 50-year time capsule was filled with items representing the school and then buried on the Sanctuary grounds, with a scheduled opening in 2061."
sanctuary,Sanctuary,Union City High School (New Jersey),"The Sanctuary, which was designed by Becica Associates L.L.C., Borst Landscape and Design, and Environmental Resolutions Inc., was opened with a ribbon-cutting ceremony on May 22, 2013, marking the completion of the school."
ESL,ESL,Staunton High School,"The original building subsequently housed a summer ESL school and a parochial school operated by the Roman Catholic Diocese of Richmond, and was later renovated into senior apartments."
citizenship,Citizenship,Selfridge Public School,History Archaeology Citizenship Problems Of Democracy Women: Past and Present General Music Health Physical Education Family Living Spanish Art Consumer Education Personal Finance Lakota Language Online A+ Classes MREC Classes Student Council
ESL,ESL,Westlake High School (Ohio),The D wing houses history on the first floor and Foreign Language/ESL on the 2nd floor.
immigrant,immigrant,DeLaSalle High School,The school was founded to provide a Catholic school option to poor and immigrant families (primarily European) moving into Minneapolis in the late 19th century.
immigrants,immigrants,DeLaSalle High School,Ireland's goal was to provide education to sons of immigrants who were moving into Minneapolis neighborhoods from many European countries.
immigrant,immigrant,Northeast High School (Missouri),"In the 21st century, the school has become defined by its role as a hub for Kansas City's immigrant and refugee communities."
immigrant,immigrant,Northeast High School (Missouri),"Reflecting its location as a hub for refugee and immigrant communities, the school has an exceptionally diverse student body."
refugee,refugee,Northeast High School (Missouri),"In the 21st century, the school has become defined by its role as a hub for Kansas City's immigrant and refugee communities."
refugee,refugee,Northeast High School (Missouri),"Reflecting its location as a hub for refugee and immigrant communities, the school has an exceptionally diverse student body."
immigrants,immigrants,Saint Francis Central Coast Catholic High School,"The presence of the school also attracted the support of local farmers, many of whom were Catholic immigrants from Ireland, Italy and Croatia."
citizenship,Citizenship,Monarch High School (Florida),"Responsibility Citizenship Kindness Respect Honesty Self-Control Tolerance Cooperation In 2023, the school came under investigation by the state of Florida after the state discovered that one of the players on the school’s girls’ volleyball team was transgender."
immigrants,immigrants,Westinghouse High School (Pittsburgh),Midcentury marked a change in the racial makeup of Homewood as more Italian immigrants moved to the neighborhood and their children attended Westinghouse.
immigrant,immigrant,Lamar High School (Houston),"In the 19th century Michael Louis Westheimer, a German immigrant who arrived in Houston in 1859, bought a 640-acre (2.6 km2) farm at an auction for $2.50 per acre."
immigrants,immigrants,Roberto Clemente Community Academy,"The school added a legal clinic to assist parents, students, and immigrants."
citizenship,citizenship,Pelham Memorial High School,"A candidate should be able to demonstrate respect, responsibility, trustworthiness, caring and citizenship."
border,Border Control,Falls Church High School,"With the start of the 2010–2011 school year, Falls Church gained some of Annandale High School's population as the result of the Annandale Border Control Force (ABCF) and their actions."
immigrants,immigrants,Sharpstown International School,"Liberty High School, an alternative high school for recent immigrants, was from 2017 on the campus of Sharpstown International."
English language learner,English language learner,Cordova High School (California),"Fifteen percent of Cordova High students are involved in special education, twenty-two percent qualify for English language learner support, and seventy percent qualify for free or reduced-price lunch."
citizenship,citizenship,"Monterey High School (Monterey, California)","The NJROTC curriculum emphasizes citizenship and leadership development, as well as the region's maritime heritage, the significance of sea power and naval topics such as the fundamentals of naval operations, seamanship, navigation and meteorology."
immigrants,immigrants,Lewiston High School (Maine),The story of Somali immigrants to Maine and how their passion for soccer led Lewiston to their first state championship title in 2015 is told in the 2018 book One Goal by Amy Bass.
immigrants,immigrants,McLean High School,"It is more likely that the name was inspired by the Union forces of the 79th New York 'Highlanders', formed largely by Scottish immigrants and known for their unique blue and red uniforms."
immigrant,immigrant,Campbell Memorial High School,"The establishment of the steel mill in 1902 led to a rapid influx of immigrant workers and the creation of a densely populated industrial town, driving the need for a centralized public school system."
immigrants,immigrants,"Thomas A. Edison High School (Fairfax County, Virginia)",The school's diversity reflected the massive influx of immigrants to the Northern Virginia region.
bilingual,Bilingual,Nathan Hale High School (Washington),Bilingual students belonging to the Hale Ambassadors program attend school events to orient families and provide translation.
ESL,ESL,Madison Park Technical Vocational High School,"The School also provides English as a Secondary Language (ESL), for students of bilingual origin for all grades."
bilingual,bilingual,Madison Park Technical Vocational High School,"The School also provides English as a Secondary Language (ESL), for students of bilingual origin for all grades."
immigrants,immigrants,St. Pius V High School,"Pius Commercial served to educate the children of Irish, Italian and German immigrants, and its initial mission was to prepare these young people for office work in businesses and professional offices in the South Bronx, which was at that time the commercial center of the borough."
immigrants,immigrants,St. Pius V High School,"A school born serving the families of Irish, Italian and German immigrants now serves Latin-American and African-American families, and the families of Caribbean and Latin immigrants."
immigrants,immigrants,St. Pius V High School,"A school born serving the families of Irish, Italian and German immigrants now serves Latin-American and African-American families, and the families of Caribbean and Latin immigrants."
immigration,immigration,St. Pius V High School,During the last seven decades the student body has mirrored the shifting immigration and social patterns of the city.
bilingual,bilingual,Perth Amboy High School,"Limited English Proficient students cannot speak, read, or write in English and are placed in 'bilingual' classes."
bilingual,bilingual,Perth Amboy High School,"However, these results are offset by the high number of bilingual students resulting in lower than average test scores in the school itself."
bilingual,bilingual,Raoul Wallenberg Traditional High School,"On May 12, 1981 the Board of Education voted to convert the school into a high school, a decision opposed by some Richmond residents in part because the change would eliminate a Japanese-English bilingual program afforded to over 200 students."
citizenship,citizenship,Raoul Wallenberg Traditional High School,This came just over a month after Wallenberg was posthumously granted honorary US citizenship.
ESL,ESL,Texas Academy of Leadership in the Humanities,"Academy approved student organizations Model United Nations Club Journalism Club Social Club Student Government S.T.E.M Club Art Club Chess Club Debate Club Med Club Academy sponsored activities Prom Various holiday parties Peer mentor activities Past and current community service activities Teen court ESL/GED tutoring Animal shelter Habitat for Humanity Garth House - Mickey Mehaffy Children's Advocacy Program Art Museum of Southeast Texas The Art Studio, Inc."
immigrants,immigrants,"Spaulding High School (Barre, Vermont)","In the late 1880s, Barre's population began to grow due to the influx of immigrants who came to work in the Granite Industry making the Barre Academy obsolete."
immigrants,immigrants,Alexandria City High School,"Alexandria City High also has a thriving International Academy program, part of the wider International Academy Network, which serves to accommodate the large surge of immigrants to the Washington, DC, area by teaching English to non-native speakers alongside a rigorous, credit-earning high school curriculum."
bilingual,bilingual,Cy-Fair High School,"In 2018–2019, 3.5% of the students were enrolled in bilingual and English language learning programs."
bilingual,bilingual,German International School Boston,"German International School Boston (GISB) is a private, bilingual (German/English), international school in Boston, Massachusetts."
bilingual,bilingual,Southwestern High School (Michigan),Aaron Foley of MLive said that the protesters were concerned about a loss of bilingual education employees and fears of a rivalry with students at Western International High School.
immigrant,immigrant,Lafayette International High School,Lafayette International Community High School offers educational programs geared towards refugee and immigrant students who have arrived in the United States within the past four years.
refugee,refugee,Lafayette International High School,Lafayette International Community High School offers educational programs geared towards refugee and immigrant students who have arrived in the United States within the past four years.
ESL,ESL,Roselle Park High School,"Clubs and organizations at RPHS include Crisis Center, Dads Club, Ecology Club, ESL Club, National Honor Society and Peer Leadership."
immigrant,immigrant,Smidt Tech,The area is the primary home to Latino and Asian immigrant families.
bilingual,bilingual,The International School of San Francisco,The lower and middle schools both follow a bilingual curriculum in French and English.
bilingual,Bilingual,The International School of San Francisco,The school was founded in 1962 under the name French American Bilingual School.
bilingual,bilingual,The International School of San Francisco,"In Pre - K through Grade 8 (Maternelle, Lower School and Middle School), the curriculum is French-English bilingual."
bilingual,bilingual,The International School of San Francisco,"At International High School, students can choose to pursue a bilingual curriculum or an English curriculum."
immigrant,immigrant,Buffalo Academy of the Sacred Heart,"Francis of Penance and Christian Charity in 1877 to provide an education rich in the arts, sciences, and humanities for the daughters of immigrant families."
citizenship,citizenship,Tyler Dorsey,"2× Israeli League Champion: 2020, 2021 (with Maccabi Tel Aviv) Turkish Super League Champion: 2024 (with Fenerbahçe) 2× Greek League Champion: 2022, 2025 (with Olympiacos Piraeus) Greek Cup Winner: 2022 (with Olympiacos Piraeus) Turkish Cup Winner: 2024 (with Fenerbahçe) 2× Greek Super Cup Winner: 2024, 2025 (with Olympiacos Piraeus) Israeli League Cup: 2020 (with Maccabi Tel Aviv) 2025 EuroBasket: Bronze All-EuroLeague Second Team: 2026 Greek Cup Finals MVP: 2022 Greek Cup Finals Top Scorer: 2022 Greek Super Cup Finals MVP: 2025 Greek Super Cup Finals Top Scorer: 2025 Pac-12 All-Freshman Team: 2016 First-team Parade All-American 2015 Gatorade California Player of the Year: 2015 All-U19 World Cup Team: 2015 As of match played 6 May 2026 Dorsey acquired dual citizenship (full citizenship with both the United States and Greece) and a Greek passport, due to his mother's Greek background."
citizenship,citizenship,Tyler Dorsey,"2× Israeli League Champion: 2020, 2021 (with Maccabi Tel Aviv) Turkish Super League Champion: 2024 (with Fenerbahçe) 2× Greek League Champion: 2022, 2025 (with Olympiacos Piraeus) Greek Cup Winner: 2022 (with Olympiacos Piraeus) Turkish Cup Winner: 2024 (with Fenerbahçe) 2× Greek Super Cup Winner: 2024, 2025 (with Olympiacos Piraeus) Israeli League Cup: 2020 (with Maccabi Tel Aviv) 2025 EuroBasket: Bronze All-EuroLeague Second Team: 2026 Greek Cup Finals MVP: 2022 Greek Cup Finals Top Scorer: 2022 Greek Super Cup Finals MVP: 2025 Greek Super Cup Finals Top Scorer: 2025 Pac-12 All-Freshman Team: 2016 First-team Parade All-American 2015 Gatorade California Player of the Year: 2015 All-U19 World Cup Team: 2015 As of match played 6 May 2026 Dorsey acquired dual citizenship (full citizenship with both the United States and Greece) and a Greek passport, due to his mother's Greek background."
citizenship,citizenship,"Salem High School (Virginia Beach, Virginia)","The NJROTC unit at Salem was established on July 1, 1996, under the authority of Title 10, United States Code, Chapter 102, Section 2031 to '...instill in students in United States secondary educational institutions the values of citizenship, service to the United States, and personal responsibility and a sense of accomplishment.' The unit motto is 'Do right and fear not'."
ESL,ESL,Pascack Hills High School,"The school offers Spanish, French, Italian, Chinese, and ESL courses for their world language program."
immigrant,immigrant,Liberty High School (Houston),"In 2008 its immigrant students came from Latin America, Asia, and Africa."
immigrants,immigrants,Liberty High School (Houston),"A part of the Houston Independent School District, it is a school catering to recent immigrants."
immigrants,immigrants,Liberty High School (Houston),This scenario caters to older students who are recent immigrants.
immigrants,immigrants,Liberty High School (Houston),"The Lee High School (now known as Wisdom High School) principal, faculty, and community expressed interest in having a special charter school for recent immigrants opened."
immigrants,immigrants,Liberty High School (Houston),"In the 2003-2004 school year, of the 2,100 students attending Lee, 205 were recent immigrants who were 17 or older and entering the 9th grade for the first time, making them 'overage' in the U.S."
immigrants,immigrants,Liberty High School (Houston),"The student body, almost completely those of recent immigrants, was made up of a majority of those of Central American origin and with others from the continents of Africa and Asia, including those from the Middle East region."
immigrants,immigrants,Liberty High School (Houston),"All of the students were immigrants, and refugees made up about 10% of the student body."
ESL,ESL,"Whitney High School (Rocklin, California)","14% of the student body reported themselves socio-economically disadvantaged, 8% reported themselves as having a disability, and 3% of the school population reported themselves as ESL students."
ESL,ESL,Scarsdale High School,The school established an English as a second language (ESL) program to help Japanese students adjust.
refugee,refugee,Furness High School,"In 2012 Daniel Peou, a Cambodian American man who was once a refugee and had lived in Philadelphia, became the principal of Furness."
citizenship,citizenship,Moon Tae-jong,"As awarded by the basketball website Eurobasket.com: CAAC Player of the Year -98 French Cup Finalist -99 French Cup Finals MVP -99 French Pro B MVP -99 French ProA All-Import Players 2nd Team -00 Israeli Cup Final Four -03 All-Israeli League 2nd Team -03, 04 Israeli Premier League Semifinals -04 Israeli League All-Imports 1st Team -04 FIBA Europe Cup North Conference Finalist -05 FIBA Europe Cup Finalist -05 FIBA Europe Cup Final Four All-Star Team -05 FIBA EuroCup All-Star Game -06 (3-Points Contest Winner) Turkish Cup Semifinals -06 ULEB Cup Semifinals -07 Russian Cup Finalist -07 Russian A Superleague Regular Season Runner-Up -07 Russian A Superleague Finalist -07 Russian A Superleague All-Newcomers Team -07 Greek League Semifinals -08, 09 All-Greek League Forward of the Year -08 All-Greek League 1st Team -08 Greek A1 League All-Imports Team -08 Greek Cup Semifinals -09 All-Greek A1 League Forward of the Year -09 All-Greek A1 League 1st Team -09 Greek A1 League All-Imports Team -09 Adriatic League Semifinals -10 Korean KBL Regular Season Runner-Up -11 Korean KBL Semifinals -11 All-Korean KBL Forward of the Year -11 All-Korean KBL 1st Team -11 Korean KBL All-Domestic Players Team -11 Moon earned his South Korean citizenship in 2011 alongside his brother, Moon Tae-young (born Greg Stevenson), who was also a professional basketball player."
immigrants,immigrants,St. Joan Antida High School,"A year later, eight more Sisters arrived to begin their work with Italian immigrants in Third Ward at Our Lady of Pompei Church."
bilingual,Bilingual,Jackson-Reed High School,"The following elementary schools feed into Jackson-Reed: Bancroft Elementary School Hearst Elementary School Janney Elementary School Lafayette Elementary School Murch Elementary School Oyster-Adams Bilingual School Shepherd Elementary School The following middle schools feed into Jackson-Reed: Deal Middle School Oyster-Adams Bilingual School However, nearly 30% of the student body lives outside the school's boundaries."
bilingual,Bilingual,Jackson-Reed High School,"The following elementary schools feed into Jackson-Reed: Bancroft Elementary School Hearst Elementary School Janney Elementary School Lafayette Elementary School Murch Elementary School Oyster-Adams Bilingual School Shepherd Elementary School The following middle schools feed into Jackson-Reed: Deal Middle School Oyster-Adams Bilingual School However, nearly 30% of the student body lives outside the school's boundaries."
citizenship,citizenship,Sylven Landesberg,"Due to the fact his father is Jewish, Landesberg received Israeli citizenship."
asylum,Asylum,Health Sciences Charter School,Vincent's Female Orphan Asylum.
undocumented,undocumented,Noble Schools,Since 2014 Noble has offered scholarships to undocumented students who participate in the federal DACA program.
undocumented,undocumented,Noble Schools,Approximately 70 undocumented Noble graduates are awarded nearly full-ride scholarships annually.
DACA,DACA,Noble Schools,Since 2014 Noble has offered scholarships to undocumented students who participate in the federal DACA program.
immigrants,immigrants,Alverno Heights Academy,"The Sisters hoped to use the Villa, now called 'Provincial Center,' as a convent, from which to provide education, childcare, and health care to Catholic immigrants in and around Sierra Madre."
immigrant,immigrant,Thomas R. Proctor High School,"Due to the large immigrant and refugee population in Utica, more than 40 languages have been spoken by Proctor students, among them Arabic, Bosnian, Burmese, Karen, Nepali, Russian, Somali, Spanish, Ukrainian, and Vietnamese."
refugee,refugee,Thomas R. Proctor High School,"Due to the large immigrant and refugee population in Utica, more than 40 languages have been spoken by Proctor students, among them Arabic, Bosnian, Burmese, Karen, Nepali, Russian, Somali, Spanish, Ukrainian, and Vietnamese."
refugee,refugee,Thomas R. Proctor High School,"In 2015, the Utica City School District was sued by six refugee students, who alleged that refugee students older than 16 who were judged to have poor English language skills were denied enrollment at Proctor High School."
refugee,refugee,Thomas R. Proctor High School,"In 2015, the Utica City School District was sued by six refugee students, who alleged that refugee students older than 16 who were judged to have poor English language skills were denied enrollment at Proctor High School."
immigrants,immigrants,Compton High School,"Today, Compton High School is over eighty percent Latino as Mexican immigrants settled in South Los Angeles."
ICE,ICE,New Haven Academy,"The school provides a college preparatory education modeled for Collaborative Education (ICE), a New York City school."
bilingual,bilingual,Bishop Union High School,Numerous programs including bilingual is offered through the guidance office.
immigrants,immigrants,Holy Trinity High School (Chicago),"Established in 1910 by the Brothers of Holy Cross, Holy Trinity was originally a boys' school serving the neighborhood sons of Polish immigrants."
immigrants,immigrants,Mother Cabrini High School,"The school drew its students from 'all over New York City and Westchester, with a large concentration of students from Manhattan and the Bronx.' Through much of its history, the student body was largely the children of Irish and Italian immigrants, but by the time of its closure in 2014, the school was predominantly Latino, primarily from the Dominican Republic."
bilingual,bilingual,Academy of the Americas,It offers a Spanish-English bilingual program.
citizenship,citizenship,"Brewster High School (Brewster, New York)",The emphasis is on citizenship development and practical leadership experience.
citizenship,Citizenship,Verona High School (New Jersey),The school won the New Jersey Best Practice Award in the 1995–96 school year for Citizenship / Tolerance in recognition of its program in Prejudice Reduction.
citizenship,Citizenship,Verona High School (New Jersey),"In the 1997–98 school year, it received the Best Practice Award for Citizenship & Character Education in recognition of Teaching Responsibility Through Involvement."
immigrants,immigrants,St. Lawrence Seminary High School,"They arrived in Milwaukee, where Bishop John Martin Henni, a fellow countryman, welcomed them to work among the immigrants in the diocese."
immigrants,immigrants,St. Lawrence Seminary High School,"But the two priests had not come to work with immigrants; they had come to establish the Capuchin Order in the United States, even though they themselves were not yet Capuchins."
citizenship,citizenship,Jim Boatwright,"While playing for Maccabi, Boatwright had acquired Israeli citizenship."
ESL,ESL,Shaker High School,"The school also offers programs for students who need additional support, such as special education services, English as a second language (ESL) support, and academic intervention services."
bilingual,bilingual,Latino College Preparatory Academy,"The school newspaper, AQUI LCPA, a bilingual monthly tabloid, came in tenth place in the 2006 National Scholastic Press Awards for its special reports package on crystal meth abuse."
bilingual,Bilingual,Tucson High Magnet School,"6th Street, which is currently Roskruge Elementary and Bilingual Magnet Middle School, and remained at that location until they completed their high school years."
bilingual,bilingual,Tucson High Magnet School,"Noteworthy programs at THMS include performing and visual arts; technological education providing comprehensive curriculum to all students with the most current technology available in these areas; an integrated program in humanities, arts, math, science, computers, bilingual and block English/social studies classes; the unique location enables students to take advantage of programs at the University of Arizona, Pima Community College, and the Downtown Arts District; marching band and jazz ensembles; vocal music; orchestra; mariachi; guitar; musical theater; folklorico; piano lab; film acting; studio photography; commercial arts; steel drums; environmental biology; integrated technology; robotics; and desktop publishing; and advanced placement classes are available in ten academic areas."
refugee,refugee,Northwest Yeshiva High School,"In 2022, NYHS seniors were the first teen group in the United States to volunteer with NCSY Relief in Romania at the Tikva House with Ukrainian refugee and orphans who had fled Odesa, Ukraine."
sanctuary,sanctuary,Northwest Yeshiva High School,"The school's suburban campus includes a sanctuary for prayer, multifunctional classrooms, STEM Lab, science lab, art studio, a lunchroom, and an outdoor sport court."
deportation,deportation,History of Oak Park and River Forest High School,The autumn of 1983 also saw the school caught up in the deportation of an employee of 25 years.
deportation,deportation,History of Oak Park and River Forest High School,"After the Justice Department's initial deportation hearings ended, the school opted to dismiss the custodian."
Title III,Title III,History of Oak Park and River Forest High School,"In conjunction with the new construction, the school received a US$1.5 million Title III grant to expand and redevelop the school library."
asylum,Asylum,WKPX,"February 14, 2013, marked the station's 30th anniversary as 'South Florida's Radio Alternative'.' Between 1996 and 2006, the station was recognized for its highly popular weekend hip-hop programs which included: Sichop and, later, The Asylum, hosted by Sydney Crawford, Curtis Steele, and Gerald Dagher."
immigrants,immigrants,Illiana Christian High School,Illiana Christian was founded in 1945 as a school for the children of Dutch Reformed immigrants in the area.
immigrant,immigrant,The International Preparatory School,"The school chiefly draws on the largely immigrant population of the West Side, and over 40 languages are spoken by the student body."
immigration,immigration,Del Sol Academy of the Performing Arts,Former President Barack Obama spoke 3 times at Del Sol during his second term to rally support for immigration overhaul.
refugee,refugee,Flint Central High School,The softball team was led by Cuban refugee Margarita Calvo to an unprecedented 22 consecutive City League titles.
ICE,ICE,Conroe High School,"Clarence Brandley's story is also told in the movie Whitewash: The Clarence Bradley Story (2002) On January 30, 2026, following the national 'ICE Out' movement, students at Conroe High School held a walkout protest at 1:05 PM."
immigrants,immigrants,Beth Rivkah,"Approximately 10 percent of students are immigrants, and there is a significant percentage of special-needs students in the elementary and high school divisions."
immigrant,immigrant,Deerfield Academy,"Boyden may have welcomed the change because 'Deerfield's rising population of immigrant Polish farmers' conflicted with his desire 'to maintain the school as a Yankee institution'; he told a colleague that Deerfield needed a boarding department 'to help settle the Polish problem.' However, Exeter principal Lewis Perry—a personal friend of Boyden's—pushed back against the suggestion that Boyden was uninterested in educating Poles, writing that Boyden had 'put a good many Polish boys and girls' through Deerfield."
border,Border Control,Annandale High School,"In response, a grassroots group of parents and residents formed what became known as the \'Annandale Border Control Force.\' Their goal was to protect AHS’s existing attendance boundaries, especially in the face of proposals that would reassign key neighborhoods."
ESL,ESL,GEO International High School,"In the 2024–2025 school year, the school made a major transition into a 2-year program for freshman and sophomore ESL students that required more intense English Language Support."
