step,loss,learning_rate,elapsed_s
173,0.835683,1.17e-05,1970.1
174,0.871292,1.09e-05,1981.6
175,1.014453,1.01e-05,1993.0
176,0.728864,9.37e-06,2004.4
177,1.137583,8.65e-06,2015.9
178,1.287369,7.95e-06,2027.5
179,0.861335,7.28e-06,2038.8
180,0.854410,6.64e-06,2050.1
181,0.703009,6.03e-06,2061.5
182,0.698467,5.45e-06,2072.9
183,0.830508,4.89e-06,2084.3
184,1.148527,4.37e-06,2095.6
185,0.713935,3.87e-06,2107.0
186,1.018051,3.41e-06,2118.7
187,0.593694,2.97e-06,2129.9
188,1.076430,2.56e-06,2141.2
189,1.467980,2.19e-06,2152.6
190,1.018085,1.84e-06,2164.1
191,1.057628,1.52e-06,2175.4
192,0.678362,1.23e-06,2186.7
193,0.603839,9.73e-07,2198.1
194,0.795332,7.45e-07,2209.5
195,0.899060,5.48e-07,2221.0
196,0.859183,3.81e-07,2232.2
197,0.701728,2.44e-07,2243.6
198,0.850462,1.37e-07,2255.0
199,0.954179,6.09e-08,2266.5
200,1.178994,1.52e-08,2277.8
