step,loss,learning_rate,elapsed_s
173,2.079347,1.03e-04,1755.1
174,2.063965,1.04e-04,1765.4
175,2.049145,1.04e-04,1775.5
176,1.976578,1.05e-04,1785.6
177,2.072061,1.06e-04,1796.0
178,2.100771,1.06e-04,1806.1
179,1.868447,1.07e-04,1816.2
180,2.021122,1.07e-04,1826.4
181,2.024436,1.08e-04,1836.2
182,2.106657,1.09e-04,1845.8
183,2.021962,1.09e-04,1855.5
184,2.072210,1.10e-04,1865.7
185,2.068208,1.10e-04,1875.3
186,2.055575,1.11e-04,1885.0
187,2.098656,1.12e-04,1895.1
188,2.090130,1.12e-04,1904.8
189,2.102024,1.13e-04,1914.5
190,2.031231,1.13e-04,1924.6
191,2.046085,1.14e-04,1934.5
192,2.041884,1.15e-04,1944.1
193,2.009866,1.15e-04,1954.3
194,2.047099,1.16e-04,1964.0
195,2.153309,1.16e-04,1973.6
196,1.986980,1.17e-04,1983.6
197,2.021047,1.18e-04,1993.5
198,2.009490,1.18e-04,2003.1
199,2.104334,1.19e-04,2012.8
200,2.094349,1.19e-04,2022.9
201,2.003904,1.20e-04,2032.6
202,1.995029,1.21e-04,2042.3
203,1.966330,1.21e-04,2052.5
204,2.022893,1.22e-04,2062.1
205,1.999247,1.22e-04,2071.8
206,2.027967,1.23e-04,2081.8
207,1.968476,1.24e-04,2091.5
208,2.066825,1.24e-04,2101.2
209,2.081042,1.25e-04,2111.4
210,1.947969,1.25e-04,2121.0
211,2.070477,1.26e-04,2130.8
212,2.002403,1.27e-04,2140.7
213,2.005256,1.27e-04,2150.5
214,2.032715,1.28e-04,2160.3
215,2.041856,1.28e-04,2170.0
216,2.009484,1.29e-04,2180.0
217,2.026047,1.30e-04,2189.7
218,2.039915,1.30e-04,2199.4
219,2.067167,1.31e-04,2209.4
220,2.031063,1.31e-04,2219.1
221,2.067661,1.32e-04,2228.8
222,2.001746,1.33e-04,2238.9
223,2.009244,1.33e-04,2248.6
224,2.124534,1.34e-04,2258.2
225,2.062304,1.34e-04,2268.3
226,2.000215,1.35e-04,2278.0
227,2.117711,1.36e-04,2287.7
228,2.009086,1.36e-04,2297.6
229,2.136024,1.37e-04,2307.5
230,2.028982,1.37e-04,2317.2
231,1.977801,1.38e-04,2326.8
232,1.932348,1.39e-04,2337.0
233,2.027957,1.39e-04,2346.7
234,2.018355,1.40e-04,2356.4
235,1.952783,1.40e-04,2366.5
236,1.973233,1.41e-04,2376.2
237,1.994437,1.42e-04,2385.8
238,1.942832,1.42e-04,2395.9
239,1.955507,1.43e-04,2405.6
240,2.104847,1.43e-04,2415.3
241,2.031834,1.44e-04,2425.4
242,2.078727,1.45e-04,2435.1
243,2.073726,1.45e-04,2444.7
244,1.909007,1.46e-04,2454.6
245,2.035828,1.46e-04,2464.5
246,2.075391,1.47e-04,2474.1
247,2.044993,1.48e-04,2483.9
248,2.134145,1.48e-04,2493.9
249,2.018026,1.49e-04,2503.6
250,1.935198,1.49e-04,2513.3
251,2.018671,1.50e-04,2523.4
252,2.080316,1.51e-04,2533.1
253,2.097222,1.51e-04,2542.7
254,2.054704,1.52e-04,2552.9
255,2.026079,1.52e-04,2562.6
256,2.037248,1.53e-04,2572.4
257,2.015402,1.54e-04,2582.4
258,2.052115,1.54e-04,2592.3
259,2.028552,1.55e-04,2602.2
260,1.881741,1.55e-04,2612.0
261,2.000689,1.56e-04,2621.9
262,1.991500,1.57e-04,2631.6
263,1.999224,1.57e-04,2641.5
264,2.004588,1.58e-04,2651.9
265,2.014617,1.58e-04,2661.7
266,2.019090,1.59e-04,2671.6
267,2.044468,1.60e-04,2681.9
268,2.045140,1.60e-04,2691.7
269,2.008639,1.61e-04,2701.5
270,1.927707,1.61e-04,2711.7
271,2.069183,1.62e-04,2721.5
272,2.063699,1.63e-04,2731.4
273,2.027411,1.63e-04,2741.6
274,2.036156,1.64e-04,2751.4
275,2.069730,1.64e-04,2761.2
276,1.974803,1.65e-04,2771.4
277,2.059726,1.66e-04,2781.1
278,2.054814,1.66e-04,2791.0
279,1.968063,1.67e-04,2801.0
280,2.012010,1.67e-04,2810.9
281,1.992441,1.68e-04,2820.7
282,2.100431,1.69e-04,2830.6
283,1.991789,1.69e-04,2840.8
284,1.995447,1.70e-04,2850.6
285,1.854476,1.70e-04,2860.5
286,1.975152,1.71e-04,2870.7
287,2.039814,1.72e-04,2880.5
288,2.060252,1.72e-04,2890.4
289,2.018129,1.73e-04,2900.5
290,2.010572,1.73e-04,2910.4
291,2.018518,1.74e-04,2920.2
292,2.073313,1.75e-04,2930.3
293,1.982767,1.75e-04,2940.2
294,1.911129,1.76e-04,2950.0
295,2.061054,1.76e-04,2960.2
296,2.041739,1.77e-04,2970.0
297,2.041169,1.78e-04,2979.9
298,2.001343,1.78e-04,2989.8
299,1.952716,1.79e-04,2999.9
300,1.995282,1.79e-04,3009.8
301,2.032902,1.80e-04,3019.7
302,1.962030,1.81e-04,3029.8
303,2.104344,1.81e-04,3039.6
304,1.969597,1.82e-04,3049.4
305,2.022801,1.82e-04,3059.6
306,2.050359,1.83e-04,3069.4
307,2.023326,1.84e-04,3079.2
308,1.976352,1.84e-04,3089.4
309,2.093560,1.85e-04,3099.2
310,2.068771,1.85e-04,3109.0
311,1.927051,1.86e-04,3119.1
312,2.077533,1.87e-04,3128.9
313,2.030444,1.87e-04,3138.6
314,2.009954,1.88e-04,3148.8
315,1.967118,1.88e-04,3158.6
316,2.034228,1.89e-04,3168.4
317,1.951446,1.90e-04,3178.4
318,1.980098,1.90e-04,3188.4
319,1.939591,1.91e-04,3198.4
320,1.976428,1.91e-04,3208.2
321,2.021743,1.92e-04,3218.6
322,2.048908,1.93e-04,3228.4
323,1.961563,1.93e-04,3238.0
324,2.043188,1.94e-04,3248.2
325,2.037917,1.94e-04,3257.9
326,2.009263,1.95e-04,3267.6
327,2.088417,1.96e-04,3277.8
328,2.082238,1.96e-04,3287.5
329,2.009724,1.97e-04,3297.2
330,2.036571,1.97e-04,3307.4
331,2.059558,1.98e-04,3317.2
332,2.030626,1.99e-04,3326.9
333,1.961747,1.99e-04,3337.0
334,2.032517,2.00e-04,3346.8
335,2.039865,2.00e-04,3356.6
336,1.957051,2.01e-04,3366.6
337,1.879078,2.02e-04,3376.6
338,2.034807,2.02e-04,3386.4
339,2.082254,2.03e-04,3396.2
340,2.070147,2.03e-04,3406.4
341,2.062629,2.04e-04,3416.3
342,1.986462,2.05e-04,3426.1
343,2.086094,2.05e-04,3436.4
344,2.025077,2.06e-04,3446.1
345,2.090715,2.06e-04,3455.9
346,1.995241,2.07e-04,3466.0
347,2.068694,2.08e-04,3475.7
348,2.080343,2.08e-04,3485.5
349,1.959396,2.09e-04,3495.7
350,1.956716,2.09e-04,3505.4
351,2.074049,2.10e-04,3515.2
352,2.027463,2.11e-04,3525.4
353,2.062818,2.11e-04,3535.2
354,2.042481,2.12e-04,3544.9
355,2.036269,2.12e-04,3554.8
356,1.985749,2.13e-04,3564.9
357,1.999693,2.14e-04,3574.5
358,1.980183,2.14e-04,3584.3
359,1.977430,2.15e-04,3594.5
360,2.033263,2.15e-04,3604.2
361,2.072865,2.16e-04,3614.0
362,2.031637,2.17e-04,3624.1
363,2.068475,2.17e-04,3633.9
364,2.044584,2.18e-04,3643.8
365,2.017852,2.18e-04,3654.0
366,2.056776,2.19e-04,3663.8
367,2.003473,2.20e-04,3673.7
368,2.004788,2.20e-04,3683.9
369,1.908891,2.21e-04,3693.7
370,2.009143,2.21e-04,3703.6
371,2.043969,2.22e-04,3713.7
372,1.970168,2.23e-04,3723.7
373,1.966521,2.23e-04,3733.5
374,1.951278,2.24e-04,3743.5
375,2.074237,2.24e-04,3753.6
376,2.000511,2.25e-04,3763.6
377,2.034649,2.26e-04,3773.3
378,2.078874,2.26e-04,3783.6
379,1.984356,2.27e-04,3793.4
380,2.082864,2.27e-04,3803.3
381,1.947707,2.28e-04,3813.6
382,2.029236,2.29e-04,3823.4
383,2.023924,2.29e-04,3833.2
384,2.049549,2.30e-04,3843.5
385,1.993186,2.30e-04,3853.4
386,2.086584,2.31e-04,3863.2
387,2.022329,2.32e-04,3873.4
388,2.007345,2.32e-04,3883.3
389,1.957582,2.33e-04,3893.0
390,1.984591,2.33e-04,3903.2
391,2.030241,2.34e-04,3913.0
392,1.995574,2.35e-04,3922.7
393,2.018698,2.35e-04,3932.7
394,2.009766,2.36e-04,3942.8
395,1.980073,2.36e-04,3952.5
396,2.004983,2.37e-04,3962.3
397,1.987110,2.38e-04,3972.4
398,1.964785,2.38e-04,3982.3
399,1.937602,2.39e-04,3992.3
400,2.043603,2.39e-04,4002.4
401,1.910543,2.40e-04,4012.3
402,2.031457,2.41e-04,4022.2
403,2.005675,2.41e-04,4032.3
404,1.982878,2.42e-04,4042.2
