step,loss,learning_rate,elapsed_s
155,2.134137,9.24e-05,950.0
156,2.180966,9.30e-05,956.2
157,2.118047,9.36e-05,962.3
158,2.162783,9.42e-05,968.4
159,2.094919,9.48e-05,974.6
160,2.127558,9.54e-05,980.7
161,2.178944,9.60e-05,986.8
162,2.108431,9.66e-05,992.9
163,2.237224,9.72e-05,999.1
164,2.072410,9.78e-05,1005.2
165,2.089493,9.84e-05,1011.3
166,2.206448,9.90e-05,1017.4
167,2.057736,9.96e-05,1023.5
168,2.155842,1.00e-04,1029.6
169,2.125727,1.01e-04,1035.7
170,2.130071,1.01e-04,1041.8
171,2.187018,1.02e-04,1048.0
172,2.141367,1.03e-04,1054.1
173,2.157145,1.03e-04,1060.3
174,2.060930,1.04e-04,1066.4
175,2.190248,1.04e-04,1072.5
176,2.135403,1.05e-04,1078.6
177,2.072197,1.06e-04,1084.7
178,2.155116,1.06e-04,1090.8
179,2.128799,1.07e-04,1096.9
180,2.131112,1.07e-04,1103.0
181,2.125932,1.08e-04,1109.2
182,2.053406,1.09e-04,1115.3
183,2.118925,1.09e-04,1121.4
184,2.131094,1.10e-04,1127.6
185,2.104845,1.10e-04,1133.7
186,2.083561,1.11e-04,1139.8
187,2.220610,1.12e-04,1145.9
188,2.016132,1.12e-04,1152.0
189,2.065146,1.13e-04,1158.1
190,2.130620,1.13e-04,1164.3
191,2.174021,1.14e-04,1170.4
192,2.119873,1.15e-04,1176.5
193,2.080566,1.15e-04,1182.6
194,2.049116,1.16e-04,1188.7
195,2.171717,1.16e-04,1194.8
196,2.204354,1.17e-04,1200.9
197,2.143108,1.18e-04,1207.1
198,2.114736,1.18e-04,1213.2
199,2.128737,1.19e-04,1219.3
200,2.072047,1.19e-04,1225.4
201,2.133312,1.20e-04,1231.5
202,2.129923,1.21e-04,1237.6
203,2.083906,1.21e-04,1243.8
204,1.985873,1.22e-04,1249.9
205,2.142611,1.22e-04,1256.0
206,2.304729,1.23e-04,1262.1
207,2.086614,1.24e-04,1268.3
208,2.096639,1.24e-04,1274.4
209,1.981745,1.25e-04,1280.5
210,2.202932,1.25e-04,1286.7
211,2.211799,1.26e-04,1292.8
212,2.094193,1.27e-04,1298.9
213,2.190993,1.27e-04,1305.1
214,2.142648,1.28e-04,1311.2
215,2.142911,1.28e-04,1317.4
216,2.185036,1.29e-04,1323.5
217,2.076383,1.30e-04,1329.6
218,2.177201,1.30e-04,1335.8
219,2.144839,1.31e-04,1341.9
220,2.069938,1.31e-04,1348.0
221,2.084267,1.32e-04,1354.2
222,2.107374,1.33e-04,1360.3
223,2.102552,1.33e-04,1366.4
224,2.077331,1.34e-04,1372.6
225,2.129216,1.34e-04,1378.7
226,2.103372,1.35e-04,1384.8
227,2.169825,1.36e-04,1391.0
228,2.102875,1.36e-04,1397.1
229,2.209773,1.37e-04,1403.3
230,2.131146,1.37e-04,1409.4
231,2.127097,1.38e-04,1415.5
232,2.171294,1.39e-04,1421.6
233,2.107346,1.39e-04,1427.8
234,2.086929,1.40e-04,1433.9
235,2.171459,1.40e-04,1440.0
236,2.178001,1.41e-04,1446.1
237,2.126774,1.42e-04,1452.3
238,2.033278,1.42e-04,1458.4
239,2.087872,1.43e-04,1464.5
240,2.151278,1.43e-04,1470.7
241,2.156666,1.44e-04,1476.8
242,2.086802,1.45e-04,1482.9
243,2.143618,1.45e-04,1489.0
244,2.209994,1.46e-04,1495.2
245,2.181251,1.46e-04,1501.3
246,2.042629,1.47e-04,1507.5
247,2.108498,1.48e-04,1513.7
248,2.134214,1.48e-04,1519.8
249,2.092256,1.49e-04,1525.9
250,2.137075,1.49e-04,1532.1
251,2.112850,1.50e-04,1538.2
252,2.094614,1.51e-04,1544.3
253,2.228464,1.51e-04,1550.5
254,2.098985,1.52e-04,1556.6
255,2.154533,1.52e-04,1562.7
256,2.105843,1.53e-04,1568.8
257,2.044013,1.54e-04,1575.0
258,2.161724,1.54e-04,1581.1
259,2.084808,1.55e-04,1587.3
260,2.173486,1.55e-04,1593.4
261,2.070315,1.56e-04,1599.5
262,2.182336,1.57e-04,1605.7
263,2.106952,1.57e-04,1611.8
264,2.171171,1.58e-04,1618.0
265,2.105438,1.58e-04,1624.1
266,2.170478,1.59e-04,1630.2
267,2.102159,1.60e-04,1636.3
268,2.067615,1.60e-04,1642.4
269,2.149801,1.61e-04,1648.5
270,2.092235,1.61e-04,1654.6
271,2.076831,1.62e-04,1660.8
272,2.039784,1.63e-04,1666.9
273,2.164278,1.63e-04,1673.0
274,2.089767,1.64e-04,1679.2
275,2.030976,1.64e-04,1685.3
276,2.167082,1.65e-04,1691.4
277,2.142471,1.66e-04,1697.5
278,2.094957,1.66e-04,1703.7
279,2.106865,1.67e-04,1709.8
280,2.132654,1.67e-04,1715.9
281,2.125201,1.68e-04,1722.0
282,2.160256,1.69e-04,1728.1
283,2.113711,1.69e-04,1734.3
284,2.155425,1.70e-04,1740.4
285,2.151064,1.70e-04,1746.5
286,2.133810,1.71e-04,1752.6
287,2.122566,1.72e-04,1758.7
288,2.083533,1.72e-04,1764.9
289,2.102126,1.73e-04,1771.0
290,2.007712,1.73e-04,1777.1
291,2.119982,1.74e-04,1783.2
292,2.063463,1.75e-04,1789.4
293,2.074007,1.75e-04,1795.5
294,2.125073,1.76e-04,1801.6
295,2.078167,1.76e-04,1807.7
296,2.059683,1.77e-04,1813.8
297,2.084070,1.78e-04,1820.0
298,2.063705,1.78e-04,1826.1
299,2.133726,1.79e-04,1832.2
300,2.083048,1.79e-04,1838.4
301,2.163192,1.80e-04,1844.4
302,2.000095,1.81e-04,1850.6
303,2.069912,1.81e-04,1856.7
304,2.125360,1.82e-04,1862.8
305,2.074409,1.82e-04,1869.0
306,2.085407,1.83e-04,1875.1
307,2.080414,1.84e-04,1881.2
308,2.107708,1.84e-04,1887.4
309,2.146205,1.85e-04,1893.5
310,2.104005,1.85e-04,1899.6
311,2.097614,1.86e-04,1905.8
312,2.136058,1.87e-04,1911.9
313,2.085917,1.87e-04,1918.0
314,2.159951,1.88e-04,1924.2
315,2.038136,1.88e-04,1930.3
316,2.072721,1.89e-04,1936.5
317,2.095654,1.90e-04,1942.6
318,2.117348,1.90e-04,1948.8
319,2.119952,1.91e-04,1954.9
320,2.062054,1.91e-04,1961.0
321,2.111362,1.92e-04,1967.1
322,2.155909,1.93e-04,1973.3
323,2.126438,1.93e-04,1979.4
324,2.145639,1.94e-04,1985.5
325,2.143583,1.94e-04,1991.6
326,2.132052,1.95e-04,1997.8
327,2.166439,1.96e-04,2003.9
328,2.098241,1.96e-04,2010.0
329,2.076905,1.97e-04,2016.1
330,2.134691,1.97e-04,2022.3
331,2.108799,1.98e-04,2028.4
332,2.126992,1.99e-04,2034.5
333,2.202744,1.99e-04,2040.6
334,1.998181,2.00e-04,2046.8
335,2.190258,2.00e-04,2052.9
336,2.072629,2.01e-04,2059.0
337,2.091353,2.02e-04,2065.2
338,2.074085,2.02e-04,2071.3
339,2.132149,2.03e-04,2077.4
340,2.079506,2.03e-04,2083.6
341,2.051295,2.04e-04,2089.7
342,2.074356,2.05e-04,2095.8
343,2.092796,2.05e-04,2101.9
344,2.107639,2.06e-04,2108.1
345,2.127368,2.06e-04,2114.2
346,2.134518,2.07e-04,2120.3
347,2.097730,2.08e-04,2126.4
348,2.089189,2.08e-04,2132.6
349,2.065075,2.09e-04,2138.7
350,2.176210,2.09e-04,2144.8
351,2.069829,2.10e-04,2151.0
352,2.140690,2.11e-04,2157.1
353,2.155221,2.11e-04,2163.2
354,2.173070,2.12e-04,2169.4
355,2.159658,2.12e-04,2175.5
356,2.055181,2.13e-04,2181.7
357,2.049176,2.14e-04,2187.8
358,2.158825,2.14e-04,2193.9
359,2.146665,2.15e-04,2200.1
360,2.091641,2.15e-04,2206.2
361,2.101365,2.16e-04,2212.3
362,2.078459,2.17e-04,2218.5
363,2.071385,2.17e-04,2224.6
364,2.024337,2.18e-04,2230.8
365,2.103279,2.18e-04,2236.9
366,2.107237,2.19e-04,2243.0
367,2.113364,2.20e-04,2249.2
368,2.059344,2.20e-04,2255.3
369,2.092592,2.21e-04,2261.5
370,2.151175,2.21e-04,2267.6
371,2.112198,2.22e-04,2273.7
372,2.158279,2.23e-04,2279.9
373,2.086146,2.23e-04,2286.0
374,2.134092,2.24e-04,2292.1
375,2.152589,2.24e-04,2298.2
376,1.970958,2.25e-04,2304.3
377,2.092488,2.26e-04,2310.5
378,2.082159,2.26e-04,2316.6
379,2.093551,2.27e-04,2322.7
380,2.099566,2.27e-04,2328.8
381,2.062336,2.28e-04,2335.0
382,1.984835,2.29e-04,2341.0
383,2.058579,2.29e-04,2347.2
384,2.095809,2.30e-04,2353.3
385,2.157670,2.30e-04,2359.4
386,2.062867,2.31e-04,2365.6
387,2.151345,2.32e-04,2371.7
388,2.066769,2.32e-04,2377.8
389,2.181300,2.33e-04,2384.0
390,2.086817,2.33e-04,2390.1
391,2.073252,2.34e-04,2396.2
392,2.071566,2.35e-04,2402.3
393,2.073888,2.35e-04,2408.5
394,2.125726,2.36e-04,2414.6
395,2.138762,2.36e-04,2420.7
396,2.185087,2.37e-04,2426.9
397,2.101607,2.38e-04,2433.0
398,2.154060,2.38e-04,2439.1
399,2.025438,2.39e-04,2445.3
400,2.019737,2.39e-04,2451.4
401,2.098392,2.40e-04,2457.5
402,2.040305,2.41e-04,2463.7
403,2.032625,2.41e-04,2469.8
404,2.088805,2.42e-04,2476.0
405,2.106773,2.42e-04,2482.1
406,2.117601,2.43e-04,2488.2
407,2.082374,2.44e-04,2494.4
408,2.087227,2.44e-04,2500.5
409,2.151598,2.45e-04,2506.7
410,2.179377,2.45e-04,2512.8
411,2.099144,2.46e-04,2519.0
412,2.092574,2.47e-04,2525.1
413,2.111227,2.47e-04,2531.2
414,2.083668,2.48e-04,2537.3
415,2.055511,2.48e-04,2543.4
416,2.102526,2.49e-04,2549.6
417,2.116441,2.50e-04,2555.7
418,2.066836,2.50e-04,2561.8
419,2.033904,2.51e-04,2567.9
420,2.054797,2.51e-04,2574.1
421,2.086468,2.52e-04,2580.2
422,2.108834,2.53e-04,2586.3
