step,loss,learning_rate,elapsed_s
152,0.621046,9.06e-05,1680.0
153,0.517296,9.12e-05,1691.5
154,0.927391,9.18e-05,1702.7
155,0.581447,9.24e-05,1714.1
156,0.550639,9.30e-05,1725.9
157,0.818967,9.36e-05,1737.3
158,0.526847,9.42e-05,1748.7
159,0.893673,9.48e-05,1760.2
160,0.670672,9.54e-05,1771.8
161,0.733590,9.60e-05,1783.1
162,0.746325,9.66e-05,1794.4
163,0.713957,9.72e-05,1805.9
164,0.876831,9.78e-05,1817.7
165,0.401231,9.84e-05,1829.4
166,0.829649,9.90e-05,1840.7
167,0.616573,9.96e-05,1851.8
168,0.399783,1.00e-04,1863.2
169,0.448012,1.01e-04,1874.8
170,0.495265,1.01e-04,1886.2
171,0.809141,1.02e-04,1898.0
172,0.739726,1.03e-04,1909.4
173,0.728235,1.03e-04,1921.2
174,0.780831,1.04e-04,1932.6
175,0.470990,1.04e-04,1943.7
176,0.687176,1.05e-04,1955.3
177,0.318997,1.06e-04,1967.5
178,0.374552,1.06e-04,1978.6
179,0.754820,1.07e-04,1990.1
180,0.432918,1.07e-04,2001.8
181,0.540420,1.08e-04,2013.4
182,0.771190,1.09e-04,2024.8
183,0.734450,1.09e-04,2036.3
184,0.638304,1.10e-04,2048.0
185,0.588287,1.10e-04,2059.0
186,0.723847,1.11e-04,2070.8
187,0.508570,1.12e-04,2082.2
188,0.584453,1.12e-04,2094.0
189,0.684951,1.13e-04,2105.4
190,0.448883,1.13e-04,2116.8
191,0.557129,1.14e-04,2128.2
192,0.382471,1.15e-04,2139.7
193,0.503657,1.15e-04,2151.2
194,0.544405,1.16e-04,2162.6
195,0.495926,1.16e-04,2174.5
196,0.580852,1.17e-04,2185.7
197,0.278794,1.18e-04,2197.0
198,0.406676,1.18e-04,2208.6
199,0.550988,1.19e-04,2220.3
200,0.329598,1.19e-04,2231.8
201,0.674483,1.20e-04,2243.3
202,0.938529,1.21e-04,2255.0
203,0.522023,1.21e-04,2266.0
204,0.438563,1.22e-04,2277.5
205,0.559483,1.22e-04,2289.1
206,0.469187,1.23e-04,2300.8
207,0.628493,1.24e-04,2312.0
208,0.686234,1.24e-04,2323.1
209,0.574089,1.25e-04,2334.8
210,0.595958,1.25e-04,2346.3
211,0.694432,1.26e-04,2358.2
212,0.429348,1.27e-04,2369.6
213,0.564355,1.27e-04,2380.8
214,0.337642,1.28e-04,2391.9
215,0.281605,1.28e-04,2403.1
216,0.543458,1.29e-04,2414.9
217,0.583716,1.30e-04,2426.6
218,0.555677,1.30e-04,2438.5
219,0.623154,1.31e-04,2449.6
220,0.550103,1.31e-04,2461.0
221,0.330845,1.32e-04,2472.1
222,0.455130,1.33e-04,2483.1
223,0.999343,1.33e-04,2494.7
224,0.423724,1.34e-04,2506.4
225,0.577783,1.34e-04,2517.7
226,0.362508,1.35e-04,2528.9
227,0.317988,1.36e-04,2540.6
228,0.357177,1.36e-04,2551.5
229,0.454714,1.37e-04,2563.1
230,0.560515,1.37e-04,2574.0
231,1.113307,1.38e-04,2586.1
232,0.492712,1.39e-04,2597.5
233,0.554294,1.39e-04,2609.2
234,0.717221,1.40e-04,2620.4
235,0.348002,1.40e-04,2631.7
236,0.521222,1.41e-04,2643.4
237,0.785179,1.42e-04,2654.7
238,0.660055,1.42e-04,2665.8
239,0.351219,1.43e-04,2677.3
240,0.378179,1.43e-04,2688.4
241,0.473470,1.44e-04,2700.1
242,0.397751,1.45e-04,2711.7
243,0.401397,1.45e-04,2723.2
244,0.375840,1.46e-04,2734.7
245,0.527763,1.46e-04,2746.0
246,0.545427,1.47e-04,2757.0
247,0.786042,1.48e-04,2768.6
248,0.517517,1.48e-04,2780.4
249,0.589340,1.49e-04,2791.5
250,0.906997,1.49e-04,2803.3
251,0.626371,1.50e-04,2814.5
252,0.806115,1.51e-04,2826.0
253,0.375040,1.51e-04,2837.3
254,0.401826,1.52e-04,2848.5
255,0.560819,1.52e-04,2859.9
256,0.370637,1.53e-04,2871.4
257,0.617225,1.54e-04,2883.4
258,0.594476,1.54e-04,2894.3
259,0.378327,1.55e-04,2905.9
260,0.309041,1.55e-04,2916.9
261,0.628980,1.56e-04,2928.2
262,0.604080,1.57e-04,2939.7
263,0.334419,1.57e-04,2951.0
264,0.517169,1.58e-04,2962.7
265,0.588897,1.58e-04,2974.2
266,0.433642,1.59e-04,2985.8
267,0.564034,1.60e-04,2996.9
268,0.810139,1.60e-04,3008.7
269,0.270316,1.61e-04,3019.8
270,0.497877,1.61e-04,3031.4
271,0.315672,1.62e-04,3042.9
272,0.949034,1.63e-04,3054.3
273,0.522733,1.63e-04,3065.8
274,0.875771,1.64e-04,3077.3
275,0.570768,1.64e-04,3088.6
276,0.664353,1.65e-04,3100.0
277,0.727203,1.66e-04,3111.5
278,0.497520,1.66e-04,3122.6
279,0.697843,1.67e-04,3134.1
280,0.250205,1.67e-04,3145.7
281,0.620581,1.68e-04,3156.7
282,0.830933,1.69e-04,3168.7
283,0.547835,1.69e-04,3180.3
284,0.361975,1.70e-04,3191.6
285,0.642588,1.70e-04,3202.8
286,0.749992,1.71e-04,3214.4
287,0.539672,1.72e-04,3225.7
288,0.855533,1.72e-04,3237.2
289,0.500181,1.73e-04,3248.5
290,0.558684,1.73e-04,3259.4
291,0.342569,1.74e-04,3270.7
292,0.667940,1.75e-04,3282.4
293,0.644711,1.75e-04,3293.9
294,0.520845,1.76e-04,3305.3
295,0.378114,1.76e-04,3316.8
296,0.867665,1.77e-04,3328.3
297,0.465484,1.78e-04,3340.1
298,0.463282,1.78e-04,3351.2
299,0.492473,1.79e-04,3362.6
300,0.441925,1.79e-04,3374.2
301,0.421698,1.80e-04,3385.7
302,0.482088,1.81e-04,3397.3
303,0.314517,1.81e-04,3408.8
304,0.668755,1.82e-04,3420.2
305,0.509787,1.82e-04,3431.7
306,0.648914,1.83e-04,3443.0
307,0.612890,1.84e-04,3454.5
308,0.775736,1.84e-04,3466.0
309,0.352470,1.85e-04,3477.3
310,0.587161,1.85e-04,3488.4
311,0.659534,1.86e-04,3500.6
312,0.759970,1.87e-04,3511.7
313,0.794160,1.87e-04,3523.1
314,0.407822,1.88e-04,3534.5
315,0.523315,1.88e-04,3546.1
316,0.667789,1.89e-04,3556.7
317,0.462865,1.90e-04,3568.8
318,0.374510,1.90e-04,3580.0
319,0.720016,1.91e-04,3591.4
320,0.525290,1.91e-04,3602.8
321,0.589149,1.92e-04,3614.0
322,0.380306,1.93e-04,3625.6
323,0.381352,1.93e-04,3637.0
324,0.475104,1.94e-04,3648.4
325,0.776048,1.94e-04,3659.9
326,0.655183,1.95e-04,3671.1
327,0.720344,1.96e-04,3682.6
328,0.513023,1.96e-04,3694.2
329,0.595226,1.97e-04,3705.3
330,0.586804,1.97e-04,3716.8
331,0.508087,1.98e-04,3728.1
332,0.526971,1.99e-04,3740.2
333,0.616212,1.99e-04,3751.3
334,0.725407,2.00e-04,3762.8
335,0.464313,2.00e-04,3774.2
336,0.666168,2.01e-04,3785.4
337,1.002188,2.02e-04,3796.7
338,0.552672,2.02e-04,3808.2
339,0.323220,2.03e-04,3819.5
340,0.879321,2.03e-04,3831.0
341,0.344850,2.04e-04,3842.6
342,0.514287,2.05e-04,3854.1
343,0.506367,2.05e-04,3865.5
344,0.406053,2.06e-04,3876.8
345,0.476585,2.06e-04,3888.0
346,0.759799,2.07e-04,3899.8
347,0.332052,2.08e-04,3911.2
348,0.645546,2.08e-04,3922.5
349,0.699726,2.09e-04,3934.0
350,0.796956,2.09e-04,3945.1
351,0.566465,2.10e-04,3957.0
352,0.416313,2.11e-04,3968.4
353,0.578532,2.11e-04,3979.4
354,0.448385,2.12e-04,3990.6
355,0.647196,2.12e-04,4002.0
356,0.667217,2.13e-04,4014.0
357,0.574848,2.14e-04,4025.1
358,0.367364,2.14e-04,4036.4
359,0.734873,2.15e-04,4047.4
360,0.332654,2.15e-04,4059.1
361,0.342015,2.16e-04,4070.6
362,0.472901,2.17e-04,4082.0
363,0.468507,2.17e-04,4093.6
364,0.290271,2.18e-04,4105.1
365,0.494055,2.18e-04,4116.7
366,0.492968,2.19e-04,4128.1
367,0.371597,2.20e-04,4139.4
368,0.565416,2.20e-04,4150.9
369,0.716714,2.21e-04,4162.1
370,0.273064,2.21e-04,4173.9
371,0.270783,2.22e-04,4185.3
372,0.444757,2.23e-04,4196.5
373,0.431551,2.23e-04,4207.7
374,0.632952,2.24e-04,4219.2
375,0.487278,2.24e-04,4230.2
376,0.789855,2.25e-04,4241.5
377,0.290498,2.26e-04,4252.4
378,0.484939,2.26e-04,4264.2
379,0.444221,2.27e-04,4275.5
380,0.462036,2.27e-04,4286.8
381,0.785652,2.28e-04,4298.5
382,0.331115,2.29e-04,4309.7
383,0.437004,2.29e-04,4321.0
384,0.623279,2.30e-04,4332.3
385,0.525691,2.30e-04,4343.3
386,0.524166,2.31e-04,4355.0
387,0.525332,2.32e-04,4366.0
388,0.402636,2.32e-04,4377.0
389,0.462252,2.33e-04,4388.0
390,0.651210,2.33e-04,4399.5
391,0.646623,2.34e-04,4410.9
392,0.742403,2.35e-04,4422.5
393,0.488068,2.35e-04,4433.7
394,0.610908,2.36e-04,4444.7
395,0.440434,2.36e-04,4455.9
396,0.414487,2.37e-04,4467.4
397,0.658411,2.38e-04,4479.0
398,0.595179,2.38e-04,4490.1
