step,loss,learning_rate,elapsed_s
173,2.154994,1.17e-05,1984.2
174,1.936233,1.09e-05,1995.9
175,1.995450,1.01e-05,2007.7
176,2.015255,9.37e-06,2019.4
177,2.169578,8.65e-06,2030.9
178,2.209647,7.95e-06,2042.6
179,2.149656,7.28e-06,2054.5
180,2.140399,6.64e-06,2066.2
181,2.231335,6.03e-06,2077.9
182,2.165099,5.45e-06,2089.6
183,2.209386,4.89e-06,2101.4
184,1.941680,4.37e-06,2113.1
185,1.985416,3.87e-06,2124.8
186,2.011450,3.41e-06,2136.3
187,2.309978,2.97e-06,2148.0
188,2.189863,2.56e-06,2159.7
189,2.132963,2.19e-06,2171.6
190,2.136306,1.84e-06,2183.3
191,2.057978,1.52e-06,2194.9
192,2.234759,1.23e-06,2206.7
193,2.075686,9.73e-07,2218.5
194,2.037213,7.45e-07,2230.4
195,2.141880,5.48e-07,2242.2
196,2.150751,3.81e-07,2253.7
197,2.194740,2.44e-07,2265.4
198,2.006347,1.37e-07,2277.1
199,2.174648,6.09e-08,2288.8
200,2.042745,1.52e-08,2300.4
