step,loss,learning_rate,elapsed_s
155,1.796100,2.98e-05,379.1
156,1.897900,3.00e-05,381.5
157,1.860000,3.02e-05,383.9
158,1.789700,3.03e-05,386.4
159,1.831700,3.05e-05,388.8
160,1.845400,3.07e-05,391.2
161,1.772400,3.09e-05,393.7
162,1.823800,3.11e-05,396.1
163,1.728700,3.13e-05,398.6
164,1.766400,3.15e-05,401.0
165,1.690300,3.17e-05,403.4
166,1.869000,3.19e-05,405.8
167,1.802100,3.21e-05,408.3
168,1.954300,3.23e-05,410.7
169,1.703100,3.25e-05,413.1
170,1.867800,3.27e-05,415.6
171,1.844100,3.28e-05,418.0
172,1.782800,3.30e-05,420.4
173,1.812900,3.32e-05,422.9
174,1.882600,3.34e-05,425.3
175,1.771000,3.36e-05,427.8
176,1.885400,3.38e-05,430.2
177,1.768600,3.40e-05,432.7
178,1.732000,3.42e-05,435.1
179,1.738900,3.44e-05,437.5
180,1.881700,3.46e-05,439.9
181,1.850800,3.48e-05,442.4
182,1.819000,3.50e-05,444.8
183,1.811900,3.51e-05,447.3
184,1.904300,3.53e-05,449.7
185,1.811700,3.55e-05,452.2
186,1.795300,3.57e-05,454.6
187,1.802900,3.59e-05,457.0
188,1.888500,3.61e-05,459.5
189,1.817200,3.63e-05,461.9
190,1.857400,3.65e-05,464.4
191,1.909100,3.67e-05,466.8
192,1.863900,3.69e-05,469.2
193,1.892900,3.71e-05,471.7
194,1.678700,3.73e-05,474.1
195,1.805000,3.75e-05,476.5
196,1.803800,3.76e-05,479.0
197,1.824800,3.78e-05,481.4
198,1.871200,3.80e-05,483.9
199,1.782800,3.82e-05,486.3
200,1.745400,3.84e-05,488.7
201,1.809600,3.86e-05,491.2
202,1.888500,3.88e-05,493.6
203,1.785000,3.90e-05,496.0
204,1.791900,3.92e-05,498.5
205,1.818000,3.94e-05,500.9
206,1.798900,3.96e-05,503.4
207,1.742300,3.98e-05,505.8
208,1.852000,3.99e-05,508.2
209,1.699700,4.01e-05,510.7
210,1.691700,4.03e-05,513.1
211,1.902500,4.05e-05,515.6
212,1.660900,4.07e-05,518.0
213,1.795300,4.09e-05,520.4
214,1.872900,4.11e-05,522.9
215,1.830600,4.13e-05,525.3
216,1.832800,4.15e-05,527.7
217,1.714500,4.17e-05,530.2
218,1.691600,4.19e-05,532.6
219,1.715400,4.21e-05,535.1
