step,loss,learning_rate,elapsed_s
172,2.139771,2.00e-04,2439.6
173,2.090326,2.00e-04,2454.8
174,1.871916,2.00e-04,2469.8
175,1.938110,2.00e-04,2484.7
176,1.953513,2.00e-04,2499.6
177,2.112388,2.00e-04,2514.5
178,2.150041,2.00e-04,2529.5
179,2.092659,2.00e-04,2544.3
180,2.085928,2.00e-04,2559.5
181,2.168460,2.00e-04,2574.2
182,2.100617,2.00e-04,2589.4
183,2.136974,2.00e-04,2604.5
184,1.884924,2.00e-04,2619.7
185,1.918895,2.00e-04,2634.6
186,1.955380,2.00e-04,2649.4
187,2.244358,2.00e-04,2664.6
188,2.130738,2.00e-04,2679.6
189,2.073543,2.00e-04,2694.8
190,2.065875,2.00e-04,2709.7
191,2.002547,2.00e-04,2724.8
192,2.169309,2.00e-04,2740.0
193,2.007735,2.00e-04,2754.9
194,1.980195,1.99e-04,2771.7
195,2.074677,1.99e-04,2787.2
196,2.089292,1.99e-04,2802.4
197,2.134429,1.99e-04,2817.4
198,1.944745,1.99e-04,2832.4
199,2.091449,1.99e-04,2847.4
200,1.981304,1.99e-04,2862.5
201,2.022933,1.99e-04,2877.6
202,2.109955,1.99e-04,2892.4
203,2.082364,1.99e-04,2907.6
204,1.864233,1.99e-04,2923.2
205,2.081113,1.99e-04,2938.4
206,2.028549,1.99e-04,2953.5
207,1.920169,1.99e-04,2968.8
208,2.081561,1.99e-04,2984.1
209,2.103492,1.99e-04,3000.3
210,2.034123,1.99e-04,3015.2
211,2.174798,1.99e-04,3030.2
212,2.130545,1.99e-04,3046.3
213,2.041522,1.99e-04,3061.5
214,2.043238,1.99e-04,3076.4
215,2.234327,1.99e-04,3091.8
216,2.119370,1.99e-04,3107.4
217,1.939924,1.99e-04,3122.6
218,2.145381,1.99e-04,3137.3
219,2.092241,1.99e-04,3152.4
220,1.883175,1.99e-04,3168.0
221,1.818995,1.99e-04,3183.2
222,2.069671,1.99e-04,3198.2
223,1.900696,1.99e-04,3213.1
224,1.955249,1.99e-04,3227.9
225,2.131212,1.99e-04,3242.6
226,1.985986,1.98e-04,3258.8
227,2.022513,1.98e-04,3274.6
228,2.125841,1.98e-04,3289.9
229,2.121302,1.98e-04,3305.0
230,2.109364,1.98e-04,3320.3
231,2.047974,1.98e-04,3336.1
232,2.160839,1.98e-04,3351.2
233,2.057158,1.98e-04,3366.7
234,2.108566,1.98e-04,3381.7
235,2.136602,1.98e-04,3396.7
236,2.017574,1.98e-04,3411.9
237,2.131186,1.98e-04,3427.6
238,2.118999,1.98e-04,3442.7
239,2.011515,1.98e-04,3457.9
240,2.058246,1.98e-04,3472.8
241,1.920474,1.98e-04,3488.7
242,2.194622,1.98e-04,3504.4
243,1.929196,1.98e-04,3520.1
244,2.140026,1.98e-04,3535.3
245,1.984122,1.98e-04,3550.5
246,2.065422,1.98e-04,3566.3
247,1.992202,1.98e-04,3581.7
248,1.994208,1.97e-04,3596.9
249,1.902370,1.97e-04,3612.1
250,2.048626,1.97e-04,3627.9
251,2.159682,1.97e-04,3643.6
252,1.933045,1.97e-04,3658.9
253,2.001996,1.97e-04,3673.7
254,2.030621,1.97e-04,3688.9
255,2.112264,1.97e-04,3704.4
256,2.161718,1.97e-04,3719.4
257,1.985699,1.97e-04,3734.4
